所有频道,#genre#
CCTV-1综合,http://39.134.52.153/hwottcdn.ln.chinamobile.com/PLTV/88888888/224/3221226979/index.m3u8#http://[2409:8087:1070:301:2028::23]/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225920/index.m3u8?fmt=ts2hls#http://[2409:8087:1070:301:2028::16]/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221226294/index.m3u8?fmt=ts2hls#http://[2409:8087:1050:301:2026::18]/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225925/index.m3u8?fmt=ts2hls#http://cdnrrs.gx.chinamobile.com/PLTV/3/224/3221225654/index.m3u8#http://cdnrrs.gx.chinamobile.com/PLTV/3/224/3221225674/index.m3u8#http://cdnrrs.gx.chinamobile.com/PLTV/3/224/3221225924/index.m3u8#http://cdnrrs.gx.chinamobile.com/PLTV/3/224/3221225934/index.m3u8#http://111.12.101.22:6610/PLTV/77777777/224/3221225674/index.m3u8?servicetype=1&IASHttpSessionId=OTT#http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226231/index.m3u8#http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225501/index.m3u8?fmt=ts2hls#http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225618/index.m3u8#http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225642/index.m3u8#http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225762/index.m3u8#http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225918/index.m3u8#http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226221/index.m3u8#http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226225/index.m3u8#http://39.136.48.2:8089/ucdn.sd.chinamobile.com/00/SNM/CHANNEL00000311/index.m3u8#http://61.164.158.154:843/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225490/index.m3u8#http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225630/index.m3u8#http://[2409:8087:1050:301:2026::13]/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225799/index.m3u8?fmt=ts2hls#http://[2409:8087:1070:301:2026::25]/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225923/index.m3u8?fmt=ts2hls#http://[2409:8087:1050:301:2026::17]/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221226295/index.m3u8?fmt=ts2hls
CCTV-2财经,http://39.134.52.153/hwottcdn.ln.chinamobile.com/PLTV/88888888/224/3221226711/index.m3u8#http://[2409:8087:1070:301:2028::1e]/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225918/index.m3u8?fmt=ts2hls#http://cdnrrs.gx.chinamobile.com/PLTV/3/224/3221225657/index.m3u8#http://cdnrrs.gx.chinamobile.com/PLTV/3/224/3221225676/index.m3u8#http://cdnrrs.gx.chinamobile.com/PLTV/3/224/3221225948/index.m3u8#http://111.12.101.22:6610/PLTV/77777777/224/3221225657/index.m3u8?servicetype=1&IASHttpSessionId=OTT#http://111.12.101.22:6610/PLTV/77777777/224/3221225676/index.m3u8?servicetype=1&IASHttpSessionId=OTT#http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226224/index.m3u8#http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225500/index.m3u8?fmt=ts2hls#http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225619/index.m3u8#http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225643/index.m3u8#http://61.164.158.154:843/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225612/index.m3u8#http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225754/index.m3u8#http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225756/index.m3u8#http://[2409:8087:1070:301:2026::24]/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225671/index.m3u8?fmt=ts2hls
CCTV-3综艺,http://39.134.52.153/hwottcdn.ln.chinamobile.com/PLTV/88888888/224/3221227038/index.m3u8#http://[2409:8087:1070:301:2028::1f]/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225963/index.m3u8?fmt=ts2hls#http://cdnrrs.gx.chinamobile.com/PLTV/3/224/3221225677/index.m3u8#http://cdnrrs.gx.chinamobile.com/PLTV/3/224/3221225713/index.m3u8#http://cdnrrs.gx.chinamobile.com/PLTV/3/224/3221225916/index.m3u8#http://111.12.101.22:6610/PLTV/77777777/224/3221225713/index.m3u8?servicetype=1&IASHttpSessionId=OTT#http://111.12.101.22:6610/PLTV/77777777/224/3221225677/index.m3u8?servicetype=1&IASHttpSessionId=OTT#http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225634/index.m3u8#http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225647/index.m3u8#http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226249/index.m3u8?fmt=ts2hls#http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226256/index.m3u8?fmt=ts2hls#http://61.164.158.154:843/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225611/index.m3u8#http://[2409:8087:1030:301:2025::21]/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225675/index.m3u8?fmt=ts2hls#http://39.136.48.2:8089/ucdn.sd.chinamobile.com/00/SNM/CHANNEL00000003/index.m3u8#http://[2409:8087:1070:301:2028::1e]/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225662/index.m3u8?fmt=ts2hls
CCTV-4中文国际,http://39.134.52.153/hwottcdn.ln.chinamobile.com/PLTV/88888888/224/3221226899/index.m3u8#http://[2409:8087:1070:301:2028::1e]/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225898/index.m3u8?fmt=ts2hls#http://cdnrrs.gx.chinamobile.com/PLTV/3/224/3221225753/index.m3u8#http://cdnrrs.gx.chinamobile.com/PLTV/3/224/3221225761/index.m3u8#http://cdnrrs.gx.chinamobile.com/PLTV/3/224/3221225922/index.m3u8#http://111.12.101.22:6610/PLTV/77777777/224/3221225761/index.m3u8?servicetype=1&IASHttpSessionId=OTT#http://111.12.101.22:6610/PLTV/77777777/224/3221225775/index.m3u8?servicetype=1&IASHttpSessionId=OTT#http://111.12.101.22:6610/PLTV/77777777/224/3221225753/index.m3u8?servicetype=1&IASHttpSessionId=OTT#http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226223/index.m3u8#http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225621/index.m3u8#http://61.164.158.154:843/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225610/index.m3u8#http://[2409:8087:1030:201:2022::27]/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225774/index.m3u8?fmt=ts2hls
CCTV-5体育,http://39.134.52.153/hwottcdn.ln.chinamobile.com/PLTV/88888888/224/3221227041/index.m3u8#http://[2409:8087:1070:301:2028::1c]/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221226290/index.m3u8?fmt=ts2hls#http://[2409:8087:1070:301:2028::1a]/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225964/index.m3u8?fmt=ts2hls#http://cdnrrs.gx.chinamobile.com/PLTV/3/224/3221225660/index.m3u8#http://cdnrrs.gx.chinamobile.com/PLTV/3/224/3221225680/index.m3u8#http://cdnrrs.gx.chinamobile.com/PLTV/3/224/3221225801/index.m3u8#http://cdnrrs.gx.chinamobile.com/PLTV/3/224/3221225925/index.m3u8#http://111.12.101.22:6610/PLTV/77777777/224/3221225801/index.m3u8?servicetype=1&IASHttpSessionId=OTT#http://111.12.101.22:6610/PLTV/77777777/224/3221225516/index.m3u8?servicetype=1&IASHttpSessionId=OTT#http://111.12.101.22:6610/PLTV/77777777/224/3221225660/index.m3u8?servicetype=1&IASHttpSessionId=OTT#http://111.12.101.22:6610/PLTV/77777777/224/3221225680/index.m3u8?servicetype=1&IASHttpSessionId=OTT#http://111.12.101.22:6610/PLTV/77777777/224/3221225923/index.m3u8?servicetype=1&IASHttpSessionId=OTT#http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225633/index.m3u8#http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226250/index.m3u8?fmt=ts2hls#http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226259/index.m3u8?fmt=ts2hls#http://61.164.158.154:843/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225489/index.m3u8#http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225751/index.m3u8#http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225752/index.m3u8#http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225755/index.m3u8#http://[2409:8087:1030:301:2025::12]/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225658/index.m3u8?fmt=ts2hls
CCTV-6电影,http://39.134.52.153/hwottcdn.ln.chinamobile.com/PLTV/88888888/224/3221227099/index.m3u8#http://[2409:8087:1070:301:2028::14]/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225965/index.m3u8?fmt=ts2hls#http://cdnrrs.gx.chinamobile.com/PLTV/3/224/3221225683/index.m3u8#http://cdnrrs.gx.chinamobile.com/PLTV/3/224/3221225715/index.m3u8#http://cdnrrs.gx.chinamobile.com/PLTV/3/224/3221225936/index.m3u8#http://111.12.101.22:6610/PLTV/77777777/224/3221225715/index.m3u8?servicetype=1&IASHttpSessionId=OTT#http://111.12.101.22:6610/PLTV/77777777/224/3221225683/index.m3u8?servicetype=1&IASHttpSessionId=OTT#http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225632/index.m3u8#http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225650/index.m3u8#http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226253/index.m3u8?fmt=ts2hls#http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226255/index.m3u8?fmt=ts2hls#http://61.164.158.154:843/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225609/index.m3u8#http://39.136.48.2:8089/ucdn.sd.chinamobile.com/00/SNM/CHANNEL00000006/index.m3u8#http://[2409:8087:1030:301:2025::12]/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225660/index.m3u8?fmt=ts2hls
CCTV-7国防军事,http://[2409:8087:1070:301:2028::1a]/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225897/index.m3u8?fmt=ts2hls#http://cdnrrs.gx.chinamobile.com/PLTV/3/224/3221225627/index.m3u8#http://cdnrrs.gx.chinamobile.com/PLTV/3/224/3221225700/index.m3u8#http://cdnrrs.gx.chinamobile.com/PLTV/3/224/3221225892/index.m3u8#http://111.12.101.22:6610/PLTV/77777777/224/3221225700/index.m3u8?servicetype=1&IASHttpSessionId=OTT#http://111.12.101.22:6610/PLTV/77777777/224/3221225627/index.m3u8?servicetype=1&IASHttpSessionId=OTT#http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225499/index.m3u8?fmt=ts2hls#http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225624/index.m3u8#http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225644/index.m3u8#http://61.164.158.154:843/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221226002/index.m3u8#rtsp://221.203.83.35:554/PLTV/88888888/224/3221226531/10000100000000060000000000499224_0.smil#http://[2409:8087:1020:301:2026::18]/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225775/index.m3u8?fmt=ts2hls
CCTV-8电视剧,http://39.134.52.153/hwottcdn.ln.chinamobile.com/PLTV/88888888/224/3221227102/index.m3u8#http://[2409:8087:1070:301:2028::1f]/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225966/index.m3u8?fmt=ts2hls#http://[2409:8087:1070:301:2028::1e]/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225661/index.m3u8?fmt=ts2hls#http://cdnrrs.gx.chinamobile.com/PLTV/3/224/3221225630/index.m3u8#http://cdnrrs.gx.chinamobile.com/PLTV/3/224/3221225716/index.m3u8#http://cdnrrs.gx.chinamobile.com/PLTV/3/224/3221226001/index.m3u8#http://111.12.101.22:6610/PLTV/77777777/224/3221225716/index.m3u8?servicetype=1&IASHttpSessionId=OTT#http://111.12.101.22:6610/PLTV/77777777/224/3221225630/index.m3u8?servicetype=1&IASHttpSessionId=OTT#http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225631/index.m3u8#http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226252/index.m3u8?fmt=ts2hls#http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226258/index.m3u8?fmt=ts2hls#http://61.164.158.154:843/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225492/index.m3u8#http://39.136.48.2:8089/ucdn.sd.chinamobile.com/00/SNM/CHANNEL00000008/index.m3u8
CCTV-9纪录,http://39.134.52.153/hwottcdn.ln.chinamobile.com/PLTV/88888888/224/3221226734/index.m3u8#http://[2409:8087:1070:301:2028::1f]/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225919/index.m3u8?fmt=ts2hls#http://cdnrrs.gx.chinamobile.com/PLTV/3/224/3221225633/index.m3u8#http://cdnrrs.gx.chinamobile.com/PLTV/3/224/3221225663/index.m3u8#http://cdnrrs.gx.chinamobile.com/PLTV/3/224/3221225939/index.m3u8#http://111.12.101.22:6610/PLTV/77777777/224/3221225663/index.m3u8?servicetype=1&IASHttpSessionId=OTT#http://111.12.101.22:6610/PLTV/77777777/224/3221225633/index.m3u8?servicetype=1&IASHttpSessionId=OTT#http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225626/index.m3u8#http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225646/index.m3u8#http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226262/index.m3u8#http://61.164.158.154:843/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225607/index.m3u8#http://[2409:8087:1070:301:2026::18]/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225667/index.m3u8?fmt=ts2hls
CCTV-10科教,http://39.134.52.153/hwottcdn.ln.chinamobile.com/PLTV/88888888/224/3221226702/index.m3u8#http://[2409:8087:1070:301:2028::1e]/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225917/index.m3u8?fmt=ts2hls#http://cdnrrs.gx.chinamobile.com/PLTV/3/224/3221225624/index.m3u8#http://cdnrrs.gx.chinamobile.com/PLTV/3/224/3221225704/index.m3u8#http://cdnrrs.gx.chinamobile.com/PLTV/3/224/3221226004/index.m3u8#http://111.12.101.22:6610/PLTV/77777777/224/3221225704/index.m3u8?servicetype=1&IASHttpSessionId=OTT#http://111.12.101.22:6610/PLTV/77777777/224/3221225624/index.m3u8?servicetype=1&IASHttpSessionId=OTT#http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225496/index.m3u8?fmt=ts2hls#http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225627/index.m3u8#http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225636/index.m3u8#http://61.164.158.154:843/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225606/index.m3u8#http://[2409:8087:1020:301:2026::2a]/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225668/index.m3u8?fmt=ts2hls
