辽宁移动,#genre#
CCTV-1综合,http://39.134.52.153/hwottcdn.ln.chinamobile.com/PLTV/88888888/224/3221226721/index.m3u8#http://39.134.52.153/hwottcdn.ln.chinamobile.com/PLTV/88888888/224/3221226979/index.m3u8#http://39.134.52.153/hwottcdn.ln.chinamobile.com/PLTV/88888888/224/3221227001/index.m3u8#http://39.134.52.153/huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226443/index.m3u8#http://39.134.52.153/huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226709/index.m3u8#http://39.134.52.153/huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226754/index.m3u8#http://39.134.52.153/hwottcdn.ln.chinamobile.com/PLTV/88888888/224/3221226759/index.m3u8#http://39.134.52.153/hwottcdn.ln.chinamobile.com/PLTV/88888888/224/3221227197/index.m3u8#http://39.134.52.153/huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226556/index.m3u8#http://39.134.52.153/huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226839/index.m3u8#http://39.134.52.153/hwottcdn.ln.chinamobile.com/PLTV/88888888/224/3221227171/index.m3u8#http://39.134.52.153/huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226844/index.m3u8
CCTV-2财经,http://39.134.52.153/hwottcdn.ln.chinamobile.com/PLTV/88888888/224/3221226711/index.m3u8#http://39.134.52.153/huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226468/index.m3u8#http://39.134.52.153/hwottcdn.ln.chinamobile.com/PLTV/88888888/224/3221227304/index.m3u8#http://39.134.52.153/huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226608/index.m3u8#http://39.134.52.153/huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226890/index.m3u8#http://39.134.52.153/hwottcdn.ln.chinamobile.com/PLTV/88888888/224/3221226853/index.m3u8#http://39.134.52.153/hwottcdn.ln.chinamobile.com/PLTV/88888888/224/3221227220/index.m3u8#http://39.134.52.153/huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226795/index.m3u8
CCTV-3综艺,http://39.134.52.153/hwottcdn.ln.chinamobile.com/PLTV/88888888/224/3221227038/index.m3u8#http://39.134.52.153/huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226800/index.m3u8#http://39.134.52.153/hwottcdn.ln.chinamobile.com/PLTV/88888888/224/3221227301/index.m3u8#http://39.134.52.153/huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226888/index.m3u8
CCTV-4中文国际,http://39.134.52.153/hwottcdn.ln.chinamobile.com/PLTV/88888888/224/3221226899/index.m3u8#http://39.134.52.153/huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226636/index.m3u8#http://39.134.52.153/hwottcdn.ln.chinamobile.com/PLTV/88888888/224/3221227267/index.m3u8#http://39.134.52.153/hwottcdn.ln.chinamobile.com/PLTV/88888888/224/3221226741/index.m3u8#http://39.134.52.153/hwottcdn.ln.chinamobile.com/PLTV/88888888/224/3221226880/index.m3u8#http://39.134.52.153/huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226517/index.m3u8#http://39.134.52.153/huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226581/index.m3u8#http://39.134.52.153/huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226841/index.m3u8#http://39.134.52.153/hwottcdn.ln.chinamobile.com/PLTV/88888888/224/3221227232/index.m3u8#http://39.134.52.153/huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226803/index.m3u8
CCTV-5体育,http://39.134.52.153/hwottcdn.ln.chinamobile.com/PLTV/88888888/224/3221227041/index.m3u8#http://39.134.52.153/huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226802/index.m3u8#http://39.134.52.153/hwottcdn.ln.chinamobile.com/PLTV/88888888/224/3221226200/index.m3u8#http://39.134.52.153/huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226138/index.m3u8
CCTV-6电影,http://39.134.52.153/hwottcdn.ln.chinamobile.com/PLTV/88888888/224/3221227099/index.m3u8#http://39.134.52.153/huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226753/index.m3u8
CCTV-7国防军事,http://39.134.52.153/hwottcdn.ln.chinamobile.com/PLTV/88888888/224/3221226905/index.m3u8#http://39.134.52.153/hwottcdn.ln.chinamobile.com/PLTV/88888888/224/3221227092/index.m3u8#http://39.134.52.153/huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226640/index.m3u8#http://39.134.52.153/huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226846/index.m3u8
CCTV-8电视剧,http://39.134.52.153/hwottcdn.ln.chinamobile.com/PLTV/88888888/224/3221227102/index.m3u8#http://39.134.52.153/huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226804/index.m3u8
CCTV-9纪录,http://39.134.52.153/hwottcdn.ln.chinamobile.com/PLTV/88888888/224/3221226734/index.m3u8#http://39.134.52.153/hwottcdn.ln.chinamobile.com/PLTV/88888888/224/3221227180/index.m3u8#http://39.134.52.153/huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226854/index.m3u8#http://39.134.52.153/huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226470/index.m3u8
CCTV-10科教,http://39.134.52.153/hwottcdn.ln.chinamobile.com/PLTV/88888888/224/3221226702/index.m3u8#http://39.134.52.153/huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226462/index.m3u8#http://39.134.52.153/hwottcdn.ln.chinamobile.com/PLTV/88888888/224/3221226792/index.m3u8#http://39.134.52.153/hwottcdn.ln.chinamobile.com/PLTV/88888888/224/3221227223/index.m3u8#http://39.134.52.153/huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226604/index.m3u8#http://39.134.52.153/huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226797/index.m3u8
